Individual,Trial,Repetition,Result_type,Result,Sex,SVL,Mass
CATEST10,Bold ,A,seconds_bodyOUT,1034,M,1002,772
CATEST15,Bold ,A,seconds_bodyOUT,1047,M,933,454.3
CATEST20,Bold ,A,seconds_headOUT,1076,M,687,193.6
CATEST14,Bold ,A,seconds_headOUT,1115,M,679,159
CATEST17,Bold ,A,seconds_bodyOUT,1123,F,775,258.2
CATEST3,Bold ,B,seconds_headOUT,1136,M,840,382
CATEST3,Bold ,A,seconds_headOUT,1139,M,840,382
CATEST14,Bold ,A,seconds_bodyOUT,1168,M,679,159
CATEST5,Bold ,A,seconds_headOUT,1169,F,82.2,335
CATEST20,Bold ,A,seconds_bodyOUT,1173,M,687,193.6
CATEST14,Bold ,B,seconds_bodyOUT,1221,M,679,159
CATEST20,Bold ,B,seconds_headOUT,1235,M,687,193.6
CATEST19,Bold ,B,seconds_headOUT,1253,M,769,215.7
CATEST20,Bold ,B,seconds_bodyOUT,1293,M,687,193.6
CATEST4,Bold ,B,seconds_headOUT,1337,M,890,441
CATEST3,Bold ,A,seconds_bodyOUT,1511,M,840,382
CATEST19,Bold ,A,seconds_headOUT,1532,M,769,215.7
CATEST11,Bold ,A,seconds_headOUT,1584,F,830,325
CATEST16,Bold ,B,seconds_headOUT,1637,M,699,232
CATEST2,Bold ,B,seconds_headOUT,1648,F,782,232
CATEST24,Bold ,A,seconds_headOUT,1652,F,741,276.4
CATEST18,Bold ,A,seconds_headOUT,1674,F,684,156.8
CATEST4,Bold ,A,seconds_headOUT,1704,M,890,441
CATEST18,Bold ,A,seconds_bodyOUT,1756,F,684,156.8
CATEST22,Bold ,B,seconds_headOUT,1834,M,702,150.6
CATEST10,Bold ,B,seconds_headOUT,1900,M,1002,772
CATEST12,Bold ,A,seconds_headOUT,2041,M,792,283
CATEST19,Bold ,A,seconds_bodyOUT,2071,M,769,215.7
CATEST16,Bold ,A,seconds_headOUT,2072,M,699,232
CATEST22,Bold ,A,seconds_headOUT,2153,M,702,150.6
CATEST10,Bold ,B,seconds_bodyOUT,2340,M,1002,772
CATEST13,Bold ,A,seconds_headOUT,2384,M,696,287
CATEST16,Bold ,A,seconds_bodyOUT,2386,M,699,232
CATEST3,Bold ,B,seconds_bodyOUT,2426,M,840,382
CATEST13,Bold ,A,seconds_bodyOUT,2544,M,696,287
CATEST11,Bold ,B,seconds_headOUT,2676,F,830,325
CATEST18,Bold ,B,seconds_headOUT,2710,F,684,156.8
CATEST21,Bold ,A,seconds_bodyOUT,2724,M,831,359.6
CATEST22,Bold ,B,seconds_bodyOUT,2726,M,702,150.6
CATEST12,Bold ,A,seconds_bodyOUT,2753,M,792,283
CATEST22,Bold ,A,seconds_bodyOUT,2846,M,702,150.6
CATEST19,Bold ,B,seconds_bodyOUT,2853,M,769,215.7
CATEST24,Bold ,A,seconds_bodyOUT,3028,F,741,276.4
CATEST7,Bold ,A,seconds_headOUT,3041,M,908,406
CATEST11,Bold ,A,seconds_bodyOUT,3103,F,830,325
CATEST4,Bold ,A,seconds_bodyOUT,3205,M,890,441
CATEST24,Bold ,B,seconds_headOUT,3221,F,741,276.4
CATEST11,Bold ,B,seconds_bodyOUT,3225,F,830,325
CATEST18,Bold ,B,seconds_bodyOUT,3267,F,684,156.8
CATEST24,Bold ,B,seconds_bodyOUT,3326,F,741,276.4
CATEST5,Bold ,B,seconds_headOUT,3661,F,82.2,335
CATEST7,Bold ,B,seconds_headOUT,3714,M,908,406
CATEST2,Bold ,A,seconds_headOUT,3719,F,782,232
CATEST2,Bold ,B,seconds_bodyOUT,3728,F,782,232
CATEST5,Bold ,A,seconds_bodyOUT,3902,F,82.2,335
CATEST4,Bold ,B,seconds_bodyOUT,3953,M,890,441
CATEST12,Bold ,B,seconds_bodyOUT,4145,M,792,283
CATEST13,Bold ,B,seconds_bodyOUT,4272,M,696,287
